common_from_all,commom_from_100,common_from_50
TP53,TP53,TP53
TNF,TNF,TNF
IL6,IL6,IL6
MTHFR,MTHFR,MTHFR
TGFB1,TGFB1,TGFB1
ACE,ACE,ACE
MMP9,MMP9,MMP9
CRP,CRP,CRP
TLR4,TLR4,TLR4
NPPB,NPPB,
HMOX1,HMOX1,
AGTR1,,
MMP1,,
F3,,
