1,"""7157"","
2,"""7124"","
3,"""348"","
4,"""3569"","
5,"""4524"","
6,"""7040"","
7,"""1636"","
8,"""3091"","
9,"""4318"","
10,"""5243"","
11,"""9370"","
12,"""1401"","
13,"""5743"","
14,"""7099"","
15,"""3479"","
16,"""2944"","
17,"""3952"","
18,"""4313"","
19,"""5054"","
20,"""6347"","
21,"""5444"","
22,"""4879"","
23,"""2153"","
24,"""406991"","
25,"""3162"","
26,"""7450"","
27,"""185"","
28,"""4312"","
29,"""338"","
30,"""4982"","
31,"""2152"","
32,"""10135"","
33,"""7139"","
34,"""5950"","
35,"""847"","
36,"""7941"","
37,"""1535"","
38,"""4973"","
39,"""1361"","
40,"""2643"","
41,"""8542"","
42,"""6446"","
43,"""186"","
44,"""6721"","
