1,"""7157"","
2,"""7124"","
3,"""3569"","
4,"""4524"","
5,"""7040"","
6,"""1636"","
7,"""3586"","
8,"""3123"","
9,"""4318"","
10,"""4790"","
11,"""207"","
12,"""1401"","
13,"""3553"","
14,"""4846"","
15,"""7099"","
16,"""3106"","
17,"""4879"","
18,"""7097"","
19,"""3605"","
20,"""1493"","
21,"""355"","
22,"""3383"","
23,"""3162"","
24,"""3146"","
25,"""1432"","
26,"""50943"","
27,"""3565"","
28,"""185"","
29,"""4312"","
30,"""3557"","
31,"""3075"","
32,"""4282"","
33,"""2152"","
34,"""114548"","
35,"""7291"","
36,"""4210"","
37,"""7412"","
38,"""2212"","
39,"""5806"","
40,"""6280"","
41,"""6376"","
42,"""6775"","
43,"""308"","
44,"""1910"","
45,"""3554"","
46,"""1909"","
47,"""50604"","
