1,"""7157"","
2,"""1956"","
3,"""7124"","
4,"""348"","
5,"""7422"","
6,"""3569"","
7,"""4524"","
8,"""7040"","
9,"""2064"","
10,"""2099"","
11,"""1636"","
12,"""3586"","
13,"""351"","
14,"""3091"","
15,"""3123"","
16,"""4318"","
17,"""5243"","
18,"""9370"","
19,"""4790"","
20,"""367"","
21,"""207"","
22,"""1401"","
23,"""155971"","
24,"""627"","
25,"""673"","
26,"""1029"","
27,"""5743"","
28,"""3553"","
29,"""3845"","
30,"""6774"","
31,"""7421"","
32,"""4846"","
33,"""7099"","
34,"""1312"","
35,"""1499"","
36,"""5728"","
37,"""5468"","
38,"""3576"","
39,"""1080"","
40,"""6532"","
41,"""3106"","
42,"""6622"","
43,"""999"","
44,"""3479"","
45,"""2944"","
46,"""596"","
47,"""4609"","
48,"""4137"","
49,"""3952"","
50,"""2475"","
51,"""3458"","
52,"""7852"","
53,"""920"","
54,"""675"","
55,"""4193"","
56,"""3717"","
57,"""4313"","
58,"""5594"","
59,"""5054"","
60,"""1234"","
61,"""2952"","
62,"""595"","
63,"""6347"","
64,"""1026"","
65,"""5444"","
66,"""332"","
67,"""2147"","
68,"""4879"","
69,"""2950"","
70,"""3105"","
71,"""6647"","
72,"""2153"","
73,"""5290"","
74,"""7097"","
75,"""3605"","
76,"""1493"","
77,"""3119"","
78,"""3077"","
79,"""6387"","
80,"""960"","
81,"""4233"","
82,"""4851"","
83,"""1565"","
84,"""7515"","
85,"""3815"","
86,"""4780"","
87,"""355"","
88,"""154"","
89,"""2908"","
90,"""3383"","
91,"""406991"","
92,"""2100"","
93,"""3162"","
94,"""5970"","
95,"""3606"","
96,"""29126"","
97,"""6696"","
98,"""23411"","
99,"""3146"","
100,"""5925"","
101,"""3135"","
102,"""1432"","
103,"""50943"","
104,"""3565"","
105,"""183"","
106,"""7450"","
107,"""120892"","
108,"""335"","
109,"""51738"","
110,"""2932"","
111,"""6714"","
112,"""3480"","
113,"""5979"","
114,"""3690"","
115,"""177"","
116,"""64127"","
117,"""836"","
118,"""3688"","
119,"""3630"","
120,"""4153"","
121,"""6648"","
122,"""857"","
123,"""142"","
124,"""1906"","
125,"""5595"","
126,"""3043"","
127,"""2146"","
128,"""4582"","
129,"""1027"","
130,"""185"","
131,"""3725"","
132,"""4312"","
133,"""3557"","
134,"""6667"","
135,"""8743"","
136,"""5879"","
137,"""9429"","
138,"""338"","
139,"""581"","
140,"""324"","
141,"""3075"","
142,"""3791"","
143,"""79068"","
144,"""8626"","
145,"""1588"","
146,"""3958"","
147,"""3949"","
148,"""4000"","
149,"""3107"","
150,"""3934"","
151,"""5663"","
152,"""2157"","
153,"""5747"","
154,"""3082"","
155,"""929"","
156,"""4843"","
157,"""4982"","
158,"""387"","
159,"""4023"","
160,"""5133"","
161,"""4282"","
162,"""5071"","
163,"""3552"","
164,"""2033"","
165,"""2247"","
166,"""1277"","
167,"""3356"","
168,"""19"","
169,"""282617"","
170,"""238"","
171,"""6772"","
172,"""5599"","
173,"""5241"","
174,"""10"","
175,"""4204"","
176,"""3320"","
177,"""3558"","
178,"""841"","
179,"""5578"","
180,"""3417"","
181,"""5265"","
182,"""2335"","
183,"""2152"","
184,"""54106"","
185,"""3064"","
186,"""213"","
187,"""1950"","
188,"""4314"","
189,"""4353"","
190,"""217"","
191,"""2321"","
192,"""1577"","
193,"""5781"","
194,"""3486"","
195,"""3065"","
196,"""6352"","
197,"""2697"","
198,"""3481"","
199,"""1471"","
200,"""406938"","
201,"""3953"","
202,"""56729"","
203,"""4988"","
204,"""1869"","
205,"""4968"","
206,"""3117"","
207,"""7132"","
208,"""650"","
209,"""356"","
210,"""6513"","
211,"""10891"","
212,"""8842"","
213,"""4089"","
214,"""4170"","
215,"""3627"","
216,"""114548"","
217,"""8600"","
218,"""3309"","
219,"""328"","
220,"""7098"","
221,"""26191"","
222,"""718"","
223,"""8074"","
224,"""682"","
225,"""10135"","
226,"""598"","
227,"""7076"","
228,"""5329"","
229,"""406947"","
230,"""3596"","
231,"""1387"","
232,"""2778"","
233,"""959"","
234,"""1490"","
235,"""4088"","
236,"""958"","
237,"""846"","
238,"""1191"","
239,"""1457"","
240,"""196"","
241,"""11093"","
242,"""7291"","
243,"""100507436"","
244,"""5580"","
245,"""255738"","
246,"""1728"","
247,"""4210"","
248,"""3315"","
249,"""1268"","
250,"""1803"","
251,"""5465"","
252,"""60489"","
253,"""1385"","
254,"""2309"","
255,"""5328"","
256,"""3084"","
257,"""1786"","
258,"""796"","
259,"""354"","
260,"""4323"","
261,"""2155"","
262,"""3559"","
263,"""2629"","
264,"""2896"","
265,"""1116"","
266,"""6469"","
267,"""3593"","
268,"""7412"","
269,"""331"","
270,"""3667"","
271,"""7052"","
272,"""57817"","
273,"""7057"","
274,"""867"","
275,"""4049"","
276,"""3308"","
277,"""2308"","
278,"""998"","
279,"""3685"","
280,"""5027"","
281,"""116519"","
282,"""3620"","
283,"""2056"","
284,"""7048"","
285,"""2022"","
286,"""2212"","
287,"""10673"","
288,"""2312"","
289,"""7139"","
290,"""4792"","
291,"""7431"","
292,"""7253"","
293,"""948"","
294,"""6927"","
295,"""4018"","
296,"""8878"","
297,"""811"","
298,"""6850"","
299,"""5156"","
300,"""3689"","
301,"""3600"","
302,"""5806"","
303,"""6285"","
304,"""2539"","
305,"""3172"","
306,"""3240"","
307,"""1050"","
308,"""7133"","
309,"""567"","
310,"""90865"","
311,"""5591"","
312,"""4893"","
313,"""3303"","
314,"""6794"","
315,"""285"","
316,"""3956"","
317,"""2034"","
318,"""133"","
319,"""6280"","
320,"""2534"","
321,"""2214"","
322,"""729230"","
323,"""5624"","
324,"""30835"","
325,"""6401"","
326,"""5950"","
327,"""5159"","
328,"""1958"","
329,"""5340"","
330,"""9021"","
331,"""10018"","
332,"""9518"","
333,"""6615"","
334,"""406937"","
335,"""11315"","
336,"""4157"","
337,"""7046"","
338,"""5300"","
339,"""6403"","
340,"""7442"","
341,"""1994"","
342,"""10855"","
343,"""545"","
344,"""2272"","
345,"""864"","
346,"""652"","
347,"""5058"","
348,"""7172"","
349,"""23621"","
350,"""3674"","
351,"""2149"","
352,"""153"","
353,"""7341"","
354,"""4057"","
355,"""1280"","
356,"""4087"","
357,"""345"","
358,"""4615"","
359,"""7189"","
360,"""4363"","
361,"""4035"","
362,"""174"","
363,"""2078"","
364,"""5315"","
365,"""820"","
366,"""7137"","
367,"""5021"","
368,"""155"","
369,"""3375"","
370,"""9365"","
371,"""7077"","
372,"""59067"","
373,"""5478"","
374,"""1051"","
375,"""7128"","
376,"""6868"","
377,"""847"","
378,"""613"","
379,"""2625"","
380,"""135"","
381,"""1585"","
382,"""7351"","
383,"""5327"","
384,"""3570"","
385,"""9314"","
386,"""7474"","
387,"""22914"","
388,"""7018"","
389,"""3456"","
390,"""2150"","
391,"""3329"","
392,"""5562"","
393,"""6462"","
394,"""23586"","
395,"""947"","
396,"""4684"","
397,"""3566"","
398,"""6935"","
399,"""3551"","
400,"""4842"","
401,"""6786"","
402,"""3673"","
403,"""5176"","
404,"""149233"","
405,"""6678"","
406,"""5228"","
407,"""4627"","
408,"""65018"","
409,"""6382"","
410,"""6093"","
411,"""7295"","
412,"""1789"","
413,"""8856"","
414,"""10631"","
415,"""4904"","
416,"""7941"","
417,"""8651"","
